bankRefId,amount,type,narration,date,fee
BNK_REF_128,403.55,CREDIT,SETTLEMENT ORD_20128 REF GW_TXN_128,2026-08-21,0.00
BNK_REF_152,778.00,CREDIT,ACH PAYOUT gmiller NET OF FEES,2026-09-03,19.95
BNK_REF_156,727.50,CREDIT,WIRE TRF FINTECH SOLU BATCH CLEARING,2026-09-08,22.50
BNK_REF_154,686.60,CREDIT,ACH PAYOUT laura NET OF FEES,2026-09-05,17.61
BNK_REF_151,226.30,CREDIT,ACH PAYOUT ian.malcolm NET OF FEES,2026-09-02,5.80
BNK_REF_110,202.63,CREDIT,SETTLEMENT ORD_20110 REF GW_TXN_110,2026-08-17,0.00
BNK_REF_112,243.23,CREDIT,SETTLEMENT ORD_20112 REF GW_TXN_112,2026-08-17,0.00
BNK_REF_139,387.53,CREDIT,STRIPE TRANSFER ORD_20139,2026-08-27,0.00
BNK_REF_158,890.00,CREDIT,WIRE TRF ENTERPRISE C BATCH CLEARING,2026-09-08,0.00
BNK_REF_125,689.16,CREDIT,SETTLEMENT ORD_20125 REF GW_TXN_125,2026-08-21,0.00
BNK_REF_160,680.00,CREDIT,WIRE TRF GALLAGHER LO BATCH CLEARING,2026-09-08,0.00
BNK_REF_106,189.04,CREDIT,SETTLEMENT ORD_20106 REF GW_TXN_106,2026-08-16,0.00
BNK_REF_131,205.94,CREDIT,SETTLEMENT ORD_20131 REF GW_TXN_131,2026-08-22,0.00
BNK_REF_111,338.44,CREDIT,SETTLEMENT ORD_20111 REF GW_TXN_111,2026-08-17,0.00
BNK_REF_145,178.65,CREDIT,STRIPE TRANSFER ORD_20145,2026-08-29,0.00
BNK_REF_137,833.97,CREDIT,STRIPE TRANSFER ORD_20137,2026-08-26,0.00
BNK_REF_157,310.00,CREDIT,WIRE TRF CHARLIE BROW BATCH CLEARING,2026-09-08,0.00
BNK_REF_114,266.87,CREDIT,SETTLEMENT ORD_20114 REF GW_TXN_114,2026-08-18,0.00
BNK_REF_121,548.86,CREDIT,SETTLEMENT ORD_20121 REF GW_TXN_121,2026-08-20,0.00
BNK_REF_130,507.28,CREDIT,SETTLEMENT ORD_20130 REF GW_TXN_130,2026-08-22,0.00
BNK_REF_127,200.42,CREDIT,SETTLEMENT ORD_20127 REF GW_TXN_127,2026-08-21,0.00
BNK_REF_123,592.73,CREDIT,SETTLEMENT ORD_20123 REF GW_TXN_123,2026-08-20,0.00
BNK_REF_119,318.10,CREDIT,SETTLEMENT ORD_20119 REF GW_TXN_119,2026-08-19,0.00
BNK_REF_132,100.00,CREDIT,SETTLEMENT ORD_20132 REF GW_TXN_132,2026-08-22,0.00
BNK_REF_118,549.44,CREDIT,SETTLEMENT ORD_20118 REF GW_TXN_118,2026-08-19,0.00
BNK_REF_107,371.10,CREDIT,SETTLEMENT ORD_20107 REF GW_TXN_107,2026-08-16,0.00
BNK_REF_149,694.85,CREDIT,ACH PAYOUT charlie NET OF FEES,2026-08-31,17.82
BNK_REF_133,771.56,CREDIT,STRIPE TRANSFER ORD_20133,2026-08-25,0.00
BNK_REF_109,600.97,CREDIT,SETTLEMENT ORD_20109 REF GW_TXN_109,2026-08-17,0.00
BNK_REF_150,612.10,CREDIT,ACH PAYOUT ian.malcolm NET OF FEES,2026-09-01,15.70
BNK_REF_117,739.85,CREDIT,SETTLEMENT ORD_20117 REF GW_TXN_117,2026-08-19,0.00
BNK_REF_135,735.27,CREDIT,STRIPE TRANSFER ORD_20135,2026-08-25,0.00
