ledgerEntryId,internalRef,amount,accountCode,description,entryDate
LEDGER_122,ORD_20122,159.81,1010-REVENUE,Customer Payment ORD_20122,2026-08-20
LEDGER_103,ORD_20103,583.28,1010-REVENUE,Customer Payment ORD_20103,2026-08-15
LEDGER_108,ORD_20108,692.78,1010-REVENUE,Customer Payment ORD_20108,2026-08-16
LEDGER_148,ORD_20148,752.82,1010-REVENUE,Gross sales for ian.malcolm,2026-08-30
LEDGER_120,ORD_20120,797.74,1010-REVENUE,Customer Payment ORD_20120,2026-08-19
LEDGER_142,ORD_20142,1051.10,1010-REVENUE,Online Sales Order ORD_20142,2026-08-26
LEDGER_119,ORD_20119,318.10,1010-REVENUE,Customer Payment ORD_20119,2026-08-19
LEDGER_141,ORD_20141,1167.67,1010-REVENUE,Online Sales Order ORD_20141,2026-08-25
LEDGER_137,ORD_20137,833.97,1010-REVENUE,Online Sales Order ORD_20137,2026-08-24
LEDGER_134,ORD_20134,735.87,1010-REVENUE,Online Sales Order ORD_20134,2026-08-23
LEDGER_124,ORD_20124,720.35,1010-REVENUE,Customer Payment ORD_20124,2026-08-20
LEDGER_125,ORD_20125,689.16,1010-REVENUE,Customer Payment ORD_20125,2026-08-21
LEDGER_150,ORD_20150,627.80,1010-REVENUE,Gross sales for ian.malcolm,2026-09-01
LEDGER_117,ORD_20117,739.85,1010-REVENUE,Customer Payment ORD_20117,2026-08-19
LEDGER_144,ORD_20144,738.79,1010-REVENUE,Online Sales Order ORD_20144,2026-08-26
LEDGER_121,ORD_20121,548.86,1010-REVENUE,Customer Payment ORD_20121,2026-08-20
LEDGER_123,ORD_20123,592.73,1010-REVENUE,Customer Payment ORD_20123,2026-08-20
LEDGER_143,ORD_20143,225.77,1010-REVENUE,Online Sales Order ORD_20143,2026-08-26
LEDGER_146,ORD_20146,325.37,1010-REVENUE,Online Sales Order ORD_20146,2026-08-27
LEDGER_138,ORD_20138,933.89,1010-REVENUE,Online Sales Order ORD_20138,2026-08-24
LEDGER_149,ORD_20149,712.67,1010-REVENUE,Gross sales for charlie,2026-08-31
LEDGER_133,ORD_20133,771.56,1010-REVENUE,Online Sales Order ORD_20133,2026-08-23
LEDGER_110,ORD_20110,202.63,1010-REVENUE,Customer Payment ORD_20110,2026-08-17
LEDGER_115,ORD_20115,501.32,1010-REVENUE,Customer Payment ORD_20115,2026-08-18
LEDGER_160,ORD_20160,680.00,1010-REVENUE,Invoice Settlement Gallagher Logistics Ltd,2026-09-06
LEDGER_151,ORD_20151,232.10,1010-REVENUE,Gross sales for ian.malcolm,2026-09-02
LEDGER_140,ORD_20140,53.73,1010-REVENUE,Online Sales Order ORD_20140,2026-08-25
LEDGER_155,ORD_20155,420.00,1010-REVENUE,Invoice Settlement Acme Global Inc Trunc,2026-09-06
LEDGER_139,ORD_20139,387.53,1010-REVENUE,Online Sales Order ORD_20139,2026-08-25
LEDGER_102,ORD_20102,227.04,1010-REVENUE,Customer Payment ORD_20102,2026-08-15
LEDGER_145,ORD_20145,178.65,1010-REVENUE,Online Sales Order ORD_20145,2026-08-27
LEDGER_126,ORD_20126,199.06,1010-REVENUE,Customer Payment ORD_20126,2026-08-21
LEDGER_114,ORD_20114,266.87,1010-REVENUE,Customer Payment ORD_20114,2026-08-18
LEDGER_131,ORD_20131,205.94,1010-REVENUE,Customer Payment ORD_20131,2026-08-22
LEDGER_132,ORD_20132,100.00,1010-REVENUE,Customer Payment ORD_20132,2026-08-22
LEDGER_127,ORD_20127,200.42,1010-REVENUE,Customer Payment ORD_20127,2026-08-21
LEDGER_111,ORD_20111,338.44,1010-REVENUE,Customer Payment ORD_20111,2026-08-17
LEDGER_147,ORD_20147,168.52,1010-REVENUE,Gross sales for hannah,2026-08-29
LEDGER_106,ORD_20106,189.04,1010-REVENUE,Customer Payment ORD_20106,2026-08-16
LEDGER_101,ORD_20101,552.53,1010-REVENUE,Customer Payment ORD_20101,2026-08-15
LEDGER_154,ORD_20154,704.21,1010-REVENUE,Gross sales for laura,2026-09-05
LEDGER_104,ORD_20104,373.09,1010-REVENUE,Customer Payment ORD_20104,2026-08-15
LEDGER_158,ORD_20158,890.00,1010-REVENUE,Invoice Settlement Enterprise Client Corp,2026-09-06
LEDGER_136,ORD_20136,1166.74,1010-REVENUE,Online Sales Order ORD_20136,2026-08-24
LEDGER_153,ORD_20153,871.49,1010-REVENUE,Gross sales for ian.malcolm,2026-09-04
LEDGER_105,ORD_20105,216.95,1010-REVENUE,Customer Payment ORD_20105,2026-08-16
LEDGER_157,ORD_20157,310.00,1010-REVENUE,Invoice Settlement Charlie Brown Peanuts,2026-09-06
LEDGER_130,ORD_20130,507.28,1010-REVENUE,Customer Payment ORD_20130,2026-08-22
LEDGER_118,ORD_20118,549.44,1010-REVENUE,Customer Payment ORD_20118,2026-08-19
LEDGER_112,ORD_20112,243.23,1010-REVENUE,Customer Payment ORD_20112,2026-08-17
LEDGER_128,ORD_20128,403.55,1010-REVENUE,Customer Payment ORD_20128,2026-08-21
LEDGER_109,ORD_20109,600.97,1010-REVENUE,Customer Payment ORD_20109,2026-08-17
LEDGER_129,ORD_20129,639.62,1010-REVENUE,Customer Payment ORD_20129,2026-08-22
LEDGER_135,ORD_20135,735.27,1010-REVENUE,Online Sales Order ORD_20135,2026-08-23
LEDGER_159,ORD_20159,560.00,1010-REVENUE,Invoice Settlement Apex Dynamics Global,2026-09-06
LEDGER_113,ORD_20113,467.39,1010-REVENUE,Customer Payment ORD_20113,2026-08-18
LEDGER_116,ORD_20116,570.54,1010-REVENUE,Customer Payment ORD_20116,2026-08-18
LEDGER_107,ORD_20107,371.10,1010-REVENUE,Customer Payment ORD_20107,2026-08-16
LEDGER_156,ORD_20156,750.00,1010-REVENUE,Invoice Settlement Fintech Solution Intl,2026-09-06
LEDGER_152,ORD_20152,797.95,1010-REVENUE,Gross sales for gmiller,2026-09-03
